Survey ResponseID,Category,Period,Total_Spend
R_11hGWSRiBd8HPmC,TOILET_PAPER,treatment,22.25
R_129jUlsvVcVBDur,DISHWARE_PLATE,baseline,21.95
R_129jUlsvVcVBDur,ELECTRONIC_CABLE,baseline,6.98
R_129jUlsvVcVBDur,ELECTRONIC_CABLE,treatment,18.78
R_129jUlsvVcVBDur,PROTECTIVE_GLOVE,treatment,32.98
R_129jUlsvVcVBDur,SCREEN_PROTECTOR,baseline,7.99
R_129jUlsvVcVBDur,SCREEN_PROTECTOR,treatment,9.99
R_129jUlsvVcVBDur,SHOES,treatment,46.7
R_12EhwlBIzVNKK2P,CELLULAR_PHONE_CASE,baseline,16.99
R_12EhwlBIzVNKK2P,CELLULAR_PHONE_CASE,treatment,39.0
R_12EhwlBIzVNKK2P,SCREEN_PROTECTOR,baseline,28.97
R_12KdI9rASwBsy9C,PET_FOOD,treatment,42.98
R_12QFQ7lCIls8sRd,PET_FOOD,baseline,29.97
R_12QFQ7lCIls8sRd,PET_FOOD,treatment,33.98
R_12QFQ7lCIls8sRd,SHIRT,baseline,14.99
R_12QFQ7lCIls8sRd,SKIN_CLEANING_AGENT,treatment,8.99
R_12QFQ7lCIls8sRd,VITAMIN,treatment,24.95
R_12Qo1HO9MWmZ5Az,CELLULAR_PHONE_CASE,baseline,33.97
R_12Qo1HO9MWmZ5Az,ELECTRONIC_CABLE,treatment,3.99
R_12Qo1HO9MWmZ5Az,SCREEN_PROTECTOR,baseline,7.99
R_12bxXZmV1h6iVAL,SHOES,baseline,8.99
R_12hBKyfNeSlhKZN,PET_FOOD,baseline,3.15
R_12kYTBVH8kS49hc,VITAMIN,baseline,15.04
R_12mMk3Dq3Oo4HJb,CELLULAR_PHONE_CASE,treatment,10.99
R_12mMk3Dq3Oo4HJb,SCREEN_PROTECTOR,treatment,11.69
R_12mdsq5k8OiJ8ji,DISHWASHER_DETERGENT,treatment,19.99
R_12mdsq5k8OiJ8ji,FLAVORED_DRINK_CONCENTRATE,treatment,12.93
R_12nXZsYjzaL70kr,SCREEN_PROTECTOR,baseline,7.85
R_12xnmbrb1eoH9nn,ELECTRONIC_CABLE,treatment,16.97
R_12xnmbrb1eoH9nn,HERB,baseline,11.21
R_12xnmbrb1eoH9nn,PLANTER,baseline,712.18
R_12xnmbrb1eoH9nn,PLANTER,treatment,23.98
R_12xnmbrb1eoH9nn,PROTECTIVE_GLOVE,baseline,13.99
R_12xnmbrb1eoH9nn,SKIN_CLEANING_AGENT,baseline,4.38
R_12xnmbrb1eoH9nn,VITAMIN,baseline,8.0
R_12xnmbrb1eoH9nn,VITAMIN,treatment,25.65
R_12yXy28O9QWzFKM,CELLULAR_PHONE_CASE,treatment,16.99
R_12yXy28O9QWzFKM,ELECTRONIC_CABLE,baseline,9.99
R_1BNwZP0DdTOa4rT,DISHWASHER_DETERGENT,baseline,17.65
R_1BNwZP0DdTOa4rT,PET_FOOD,treatment,88.11
R_1BNwZP0DdTOa4rT,PROTECTIVE_GLOVE,treatment,13.79
R_1BOXzyVhrXiWrFg,ELECTRONIC_CABLE,baseline,21.89
R_1BOXzyVhrXiWrFg,FLAVORED_DRINK_CONCENTRATE,baseline,3.16
R_1BOXzyVhrXiWrFg,PET_FOOD,baseline,51.82
R_1BOXzyVhrXiWrFg,PET_FOOD,treatment,14.88
R_1BPepcPkpmd3HIv,ADHESIVE_TAPES,baseline,9.99
R_1BPo7cRkGaVw2zj,VITAMIN,treatment,19.95
R_1BWxQW5L2MlpDCd,SCREEN_PROTECTOR,treatment,5.82
R_1C1nnqKIVMlhfTh,ELECTRONIC_CABLE,baseline,6.49
R_1C465BAQuYyIY3s,ELECTRONIC_CABLE,treatment,9.95
R_1C4nKyrv0w2thJn,ADHESIVE_TAPES,baseline,15.46
R_1C4nKyrv0w2thJn,FLAVORED_DRINK_CONCENTRATE,treatment,3.16
R_1C4nKyrv0w2thJn,SCREEN_PROTECTOR,baseline,20.97
R_1C4nKyrv0w2thJn,SHIRT,baseline,117.9
R_1C4nKyrv0w2thJn,SKIN_CLEANING_AGENT,treatment,9.9
R_1C4nKyrv0w2thJn,VITAMIN,baseline,7.49
R_1C4tcyEfmcsKI9X,ADHESIVE_TAPES,baseline,79.95
R_1C75XRebT1eliL0,PET_FOOD,treatment,8.68
R_1C75XRebT1eliL0,PROTECTIVE_GLOVE,treatment,11.95
R_1C75XRebT1eliL0,SHIRT,baseline,73.97
R_1C75XRebT1eliL0,SHOES,baseline,177.74
R_1C75XRebT1eliL0,TOILET_PAPER,treatment,10.96
R_1C8w4NDDQC5fcgE,PET_FOOD,baseline,1.89
R_1C8w4NDDQC5fcgE,SHIRT,baseline,21.99
R_1C8w4NDDQC5fcgE,SHOES,treatment,39.97
R_1C9JNFshblsSjyF,SCREEN_PROTECTOR,treatment,8.97
R_1C9YUFD8GunlGej,PET_FOOD,baseline,78.67
R_1C9YUFD8GunlGej,PLANTER,baseline,15.99
R_1C9YUFD8GunlGej,SCREEN_PROTECTOR,treatment,6.98
R_1C9YUFD8GunlGej,SKIN_CLEANING_AGENT,baseline,11.370000000000001
R_1C9YUFD8GunlGej,SKIN_CLEANING_AGENT,treatment,19.46
R_1CBcqx5T9GZcMRt,SKIN_CLEANING_AGENT,baseline,23.34
R_1CDqTWLWIk642Vp,SCREEN_PROTECTOR,baseline,6.35
R_1CDqTWLWIk642Vp,SHIRT,baseline,8.95
R_1CDqTWLWIk642Vp,SHIRT,treatment,7.99
R_1CDqTWLWIk642Vp,SHOES,baseline,39.96
R_1CEeWOcxWHKG89k,TOILET_PAPER,treatment,19.13
R_1CIOVoUy3w1iF6O,COFFEE,baseline,14.99
R_1CIOVoUy3w1iF6O,SUGAR_CANDY,baseline,6.98
R_1CIQjlABWt7jZWc,SAUCE,treatment,2.99
R_1CIQjlABWt7jZWc,SUGAR_CANDY,baseline,9.28
R_1Cd5zmz07X5BqKa,PET_FOOD,baseline,42.98
R_1Cd5zmz07X5BqKa,PET_FOOD,treatment,59.38
R_1Cd5zmz07X5BqKa,SHOES,treatment,43.46
R_1Cd5zmz07X5BqKa,VITAMIN,baseline,4.8
R_1Cd5zmz07X5BqKa,VITAMIN,treatment,17.98
R_1CdSxzYzFm2SGuB,ELECTRONIC_CABLE,baseline,8.5
R_1CexkWTJYOAs1Rc,CELLULAR_PHONE_CASE,treatment,21.5
R_1CjWIsByjtP0GxZ,COFFEE,treatment,9.98
R_1CjWIsByjtP0GxZ,DISHWASHER_DETERGENT,treatment,16.97
R_1CjWIsByjtP0GxZ,FLAVORED_DRINK_CONCENTRATE,baseline,3.78
R_1CjWIsByjtP0GxZ,HERB,baseline,13.010000000000002
R_1CjWIsByjtP0GxZ,PET_FOOD,treatment,39.8
R_1CjWIsByjtP0GxZ,SKIN_CLEANING_AGENT,baseline,6.45
R_1CjWIsByjtP0GxZ,SKIN_CLEANING_AGENT,treatment,18.34
R_1CjWIsByjtP0GxZ,TOILET_PAPER,baseline,23.96
R_1CjrqlIqihbkYgk,ELECTRONIC_CABLE,baseline,8.99
R_1ClqO4ZMDuwGjfl,COFFEE,baseline,29.99
R_1ClqO4ZMDuwGjfl,COFFEE,treatment,29.99
R_1ClqO4ZMDuwGjfl,PLANTER,baseline,23.03
R_1ClqO4ZMDuwGjfl,PLANTER,treatment,2.87
R_1ClqO4ZMDuwGjfl,SHIRT,baseline,32.29
R_1ClqO4ZMDuwGjfl,SHIRT,treatment,21.240000000000002
R_1ClqO4ZMDuwGjfl,VITAMIN,baseline,9.38
R_1CmhrU1GJmKnbwz,CELLULAR_PHONE_CASE,baseline,31.98
R_1CmhrU1GJmKnbwz,COFFEE,treatment,29.99
R_1CmhrU1GJmKnbwz,SCREEN_PROTECTOR,baseline,15.96
R_1CqGMkfiCiATbn4,VITAMIN,treatment,53.87
R_1Cx2TzfSj9KxVhR,PET_FOOD,baseline,9.99
R_1Cx2TzfSj9KxVhR,PET_FOOD,treatment,19.47
R_1Cx2TzfSj9KxVhR,PROTECTIVE_GLOVE,treatment,8.62
R_1Cx2TzfSj9KxVhR,SHIRT,treatment,30.2
R_1Cx2TzfSj9KxVhR,SKIN_CLEANING_AGENT,treatment,6.9
R_1Cx2TzfSj9KxVhR,SUGAR_CANDY,treatment,11.58
R_1DCt230xICUxYN0,SCREEN_PROTECTOR,baseline,7.85
R_1DGSlefke200soD,HERB,treatment,2.1
R_1DGSlefke200soD,PET_FOOD,treatment,23.84
R_1DGSlefke200soD,SKIN_CLEANING_AGENT,treatment,6.99
R_1DGVVsovR661OqT,ELECTRONIC_CABLE,treatment,7.44
R_1DGVVsovR661OqT,PET_FOOD,baseline,14.67
R_1DJ4QJgrJwK7g3Y,SHOES,baseline,42.65
R_1DJdUrYA1I0QAKh,SHOES,baseline,18.84
R_1DJdUrYA1I0QAKh,SUGAR_CANDY,treatment,6.99
R_1DJdUrYA1I0QAKh,VITAMIN,baseline,25.95
R_1DJdUrYA1I0QAKh,VITAMIN,treatment,34.49
R_1DLRE54vbCjvb6t,CELLULAR_PHONE_CASE,baseline,19.98
R_1DLRE54vbCjvb6t,ELECTRONIC_CABLE,baseline,9.99
R_1DLRE54vbCjvb6t,FRUIT,treatment,19.99
R_1DLRE54vbCjvb6t,SHOES,treatment,53.99
R_1DLRE54vbCjvb6t,SKIN_CLEANING_AGENT,treatment,13.59
R_1DOwHkGiX8DX7mF,PET_FOOD,baseline,12.28
R_1DOwHkGiX8DX7mF,PET_FOOD,treatment,10.57
R_1DOwHkGiX8DX7mF,TOILET_PAPER,treatment,25.18
R_1DOwHkGiX8DX7mF,VITAMIN,baseline,12.71
R_1DTocDmr98DeSu5,CELLULAR_PHONE_CASE,treatment,14.97
R_1DULPnUes4caEHg,SKIN_CLEANING_AGENT,baseline,6.47
R_1DULPnUes4caEHg,SUGAR_CANDY,baseline,5.99
R_1DXTNttXJvyt2M8,SHOES,baseline,59.95
R_1DYWdbAMt6LyCZH,COFFEE,baseline,81.27
R_1DYWdbAMt6LyCZH,COFFEE,treatment,29.060000000000002
R_1DYWdbAMt6LyCZH,DISHWASHER_DETERGENT,treatment,12.49
R_1DYWdbAMt6LyCZH,ELECTRONIC_CABLE,treatment,10.49
R_1DYWdbAMt6LyCZH,SKIN_CLEANING_AGENT,treatment,8.18
R_1DYWdbAMt6LyCZH,VITAMIN,baseline,9.06
R_1DYjkc1gJNvrzzL,COFFEE,treatment,15.49
R_1DYjkc1gJNvrzzL,HERB,treatment,12.99
R_1DYjkc1gJNvrzzL,PET_FOOD,baseline,83.23
R_1DYjkc1gJNvrzzL,PET_FOOD,treatment,36.99
R_1Du7cF5hhpQDgPP,HERB,baseline,4.98
R_1E09cCgzMzFPS25,CELLULAR_PHONE_CASE,treatment,8.89
R_1E09cCgzMzFPS25,COFFEE,treatment,6.14
R_1E09cCgzMzFPS25,FRUIT,baseline,10.96
R_1E09cCgzMzFPS25,FRUIT,treatment,4.5600000000000005
R_1E09cCgzMzFPS25,HERB,treatment,5.880000000000001
R_1E09cCgzMzFPS25,SAUCE,baseline,9.46
R_1E09cCgzMzFPS25,SAUCE,treatment,3.98
R_1E09cCgzMzFPS25,SKIN_CLEANING_AGENT,treatment,5.98
R_1E09cCgzMzFPS25,SUGAR_CANDY,baseline,12.81
R_1E09cCgzMzFPS25,SUGAR_CANDY,treatment,12.76
R_1E09cCgzMzFPS25,TOILET_PAPER,baseline,6.99
R_1E09cCgzMzFPS25,TOILET_PAPER,treatment,27.95
R_1E09cCgzMzFPS25,VITAMIN,baseline,12.83
R_1E09cCgzMzFPS25,VITAMIN,treatment,12.83
R_1E3TJBNJVtr3tcD,ELECTRONIC_CABLE,baseline,7.49
R_1E3TJBNJVtr3tcD,FLAVORED_DRINK_CONCENTRATE,baseline,24.95
R_1E3TJBNJVtr3tcD,FLAVORED_DRINK_CONCENTRATE,treatment,24.99
R_1E3TJBNJVtr3tcD,SHIRT,baseline,18.03
R_1E3TJBNJVtr3tcD,SHOES,baseline,12.0
R_1E3TJBNJVtr3tcD,TOILET_PAPER,treatment,20.7
R_1E5RqOd5LIHJqSq,TOILET_PAPER,treatment,17.98
R_1EafkWC1L7tVe0w,CELLULAR_PHONE_CASE,baseline,23.98
R_1EafkWC1L7tVe0w,ELECTRONIC_CABLE,baseline,8.96
R_1EafkWC1L7tVe0w,HERB,baseline,5.48
R_1EafkWC1L7tVe0w,SHOES,baseline,42.74
R_1EafkWC1L7tVe0w,SKIN_CLEANING_AGENT,baseline,9.8
R_1Eb0TuKdBzAPRU5,PET_FOOD,baseline,51.82
R_1EcWoboad0WrY5X,SHIRT,treatment,54.43
R_1Egu0oETMcJuIOb,PROTECTIVE_GLOVE,treatment,15.99
R_1Egu0oETMcJuIOb,SKIN_CLEANING_AGENT,treatment,11.28
R_1F2tvNSRK2zrouN,ELECTRONIC_CABLE,treatment,24.48
R_1F35QiIK5csZBEC,DISHWARE_PLATE,treatment,6.01
R_1F5JRp7RYbcB55J,FLAVORED_DRINK_CONCENTRATE,baseline,10.99
R_1F5JRp7RYbcB55J,SKIN_CLEANING_AGENT,baseline,8.78
R_1F5JRp7RYbcB55J,TOILET_PAPER,treatment,21.99
R_1F5JRp7RYbcB55J,VITAMIN,treatment,5.14
R_1FDuPfFH7Gp0BWI,CELLULAR_PHONE_CASE,baseline,12.99
R_1FDuPfFH7Gp0BWI,PET_FOOD,treatment,12.49
R_1FDuPfFH7Gp0BWI,PROTECTIVE_GLOVE,treatment,13.99
R_1FDuPfFH7Gp0BWI,SCREEN_PROTECTOR,baseline,5.97
R_1FDuPfFH7Gp0BWI,VITAMIN,treatment,14.47
R_1FIIRdb0jGJ9oRe,COFFEE,baseline,59.88
R_1FIIRdb0jGJ9oRe,COFFEE,treatment,37.98
R_1FILvmI2ZEKHPPR,PET_FOOD,baseline,12.33
R_1FILvmI2ZEKHPPR,VITAMIN,baseline,12.22
R_1FJ01Kk4aB1BWNJ,COFFEE,baseline,9.16
R_1FJlXVDBsBrZOy3,CELLULAR_PHONE_CASE,baseline,16.99
R_1FJlXVDBsBrZOy3,CELLULAR_PHONE_CASE,treatment,16.99
R_1FQHtC65uMiLsjT,CELLULAR_PHONE_CASE,baseline,8.99
R_1FQHtC65uMiLsjT,SCREEN_PROTECTOR,baseline,9.99
R_1FQHtC65uMiLsjT,SKIN_CLEANING_AGENT,baseline,12.95
R_1FQHtC65uMiLsjT,SKIN_CLEANING_AGENT,treatment,16.52
R_1FRQDBoks93vPCz,PET_FOOD,baseline,17.96
R_1FRQDBoks93vPCz,PET_FOOD,treatment,8.24
R_1FRQDBoks93vPCz,SKIN_CLEANING_AGENT,treatment,17.8
R_1FRsomi7uxATDER,SAUCE,baseline,9.43
R_1FRsomi7uxATDER,SKIN_CLEANING_AGENT,baseline,5.5200000000000005
R_1FRsomi7uxATDER,SKIN_CLEANING_AGENT,treatment,9.99
R_1FRsomi7uxATDER,VITAMIN,baseline,13.87
R_1FWSWSjBuPMvSgx,ELECTRONIC_CABLE,baseline,8.99
R_1FaohPMY0mE5O4K,COFFEE,treatment,6.7
R_1Fb4EL4IE75q7lf,SHOES,baseline,295.18
R_1Fb4EL4IE75q7lf,SHOES,treatment,66.37
R_1Fb4EL4IE75q7lf,SKIN_CLEANING_AGENT,baseline,7.97
R_1Ffcx0CMHqog6G8,HERB,baseline,10.5
R_1Ffcx0CMHqog6G8,HERB,treatment,4.2
R_1Ffcx0CMHqog6G8,PET_FOOD,baseline,297.09
R_1Ffcx0CMHqog6G8,PET_FOOD,treatment,93.75999999999999
R_1Ffcx0CMHqog6G8,SKIN_CLEANING_AGENT,baseline,9.39
R_1FgFVnfjrowZz1l,ELECTRONIC_CABLE,baseline,25.99
R_1FgFVnfjrowZz1l,SKIN_CLEANING_AGENT,treatment,11.82
R_1FgFVnfjrowZz1l,VITAMIN,baseline,157.03
R_1FmFI2FlHcSqbJj,SCREEN_PROTECTOR,baseline,9.95
R_1FmqNSKTkFPA2iS,CELLULAR_PHONE_CASE,baseline,9.99
R_1FnbihJLqMICvMb,VITAMIN,baseline,9.99
R_1FrdQkXjcUod40Z,SCREEN_PROTECTOR,baseline,8.99
R_1FrdQkXjcUod40Z,SHIRT,baseline,9.17
R_1FwushWdNnxMnwa,ADHESIVE_TAPES,baseline,10.99
R_1FwushWdNnxMnwa,COFFEE,baseline,35.449999999999996
R_1FwushWdNnxMnwa,COFFEE,treatment,68.5
R_1FwushWdNnxMnwa,PET_FOOD,baseline,49.77
R_1FwushWdNnxMnwa,PET_FOOD,treatment,23.4
R_1FwushWdNnxMnwa,SCREEN_PROTECTOR,baseline,6.99
R_1FwushWdNnxMnwa,SKIN_CLEANING_AGENT,baseline,8.73
R_1FwushWdNnxMnwa,VITAMIN,baseline,10.23
R_1FyNw1r0DyrEPsP,SHIRT,baseline,14.98
R_1Fyt4lN10F6TI3f,ELECTRONIC_CABLE,baseline,8.99
R_1Fyt4lN10F6TI3f,FRUIT,baseline,24.98
R_1Fyt6rHyiQcVOT8,ELECTRONIC_CABLE,baseline,16.98
R_1Fyt6rHyiQcVOT8,ELECTRONIC_CABLE,treatment,6.59
R_1Fyt6rHyiQcVOT8,PLANTER,baseline,8.98
R_1Fyt6rHyiQcVOT8,SCREEN_PROTECTOR,baseline,7.99
R_1Fz9yYKcVxPaD7n,CELLULAR_PHONE_CASE,baseline,63.45
R_1Fz9yYKcVxPaD7n,FRUIT,baseline,4.11
R_1Fz9yYKcVxPaD7n,SCREEN_PROTECTOR,baseline,22.98
R_1Fz9yYKcVxPaD7n,SCREEN_PROTECTOR,treatment,4.98
R_1Fz9yYKcVxPaD7n,VITAMIN,baseline,12.99
R_1FzILFUkhEqt8k1,ELECTRONIC_CABLE,baseline,2.99
R_1GCgOvzvQllBwhO,CELLULAR_PHONE_CASE,baseline,14.87
R_1GE6LgeTEJUmjF7,PET_FOOD,treatment,4.73
R_1GE6LgeTEJUmjF7,PLANTER,baseline,11.99
R_1GHRqNeLfZhykV2,SKIN_CLEANING_AGENT,baseline,27.86
R_1GHRqNeLfZhykV2,SUGAR_CANDY,baseline,10.99
R_1GHRqNeLfZhykV2,SUGAR_CANDY,treatment,11.99
R_1GHRqNeLfZhykV2,VITAMIN,treatment,6.07
R_1GIfjocF2dRzyeH,ELECTRONIC_CABLE,treatment,7.98
R_1GIfjocF2dRzyeH,SHOES,baseline,78.94999999999999
R_1GJQPdG3jpH3uLc,PET_FOOD,treatment,106.96
R_1GJQPdG3jpH3uLc,SHIRT,baseline,31.939999999999998
R_1GJQPdG3jpH3uLc,SHIRT,treatment,12.95
R_1GJQPdG3jpH3uLc,SKIN_CLEANING_AGENT,treatment,5.76
R_1GJh487BwGHUzGO,ELECTRONIC_CABLE,baseline,9.99
R_1GNwNjI3wJh2Kx4,PET_FOOD,baseline,40.43
R_1GP6FxkWgiZPf0s,ELECTRONIC_CABLE,treatment,19.86
R_1GP6FxkWgiZPf0s,PET_FOOD,baseline,19.19
R_1GP6FxkWgiZPf0s,PET_FOOD,treatment,23.77
R_1GP6FxkWgiZPf0s,SCREEN_PROTECTOR,baseline,8.97
R_1GP6FxkWgiZPf0s,SHIRT,baseline,72.97
R_1GP6FxkWgiZPf0s,SHOES,baseline,176.3
R_1GP6FxkWgiZPf0s,SKIN_CLEANING_AGENT,baseline,5.97
R_1GP6FxkWgiZPf0s,TOILET_PAPER,baseline,22.25
R_1GP6FxkWgiZPf0s,TOILET_PAPER,treatment,22.25
R_1GUnaIBNtPG7cDs,ELECTRONIC_CABLE,baseline,5.99
R_1GUnaIBNtPG7cDs,PET_FOOD,treatment,19.64
R_1GUnaIBNtPG7cDs,SCREEN_PROTECTOR,baseline,6.99
R_1GUnaIBNtPG7cDs,SKIN_CLEANING_AGENT,baseline,5.27
R_1GUnaIBNtPG7cDs,VITAMIN,treatment,4.3
